제품군,URL,제품명,모델명,상태,정가,판매가,최대혜택가,구매혜택안내,6년구독가격,최대혜택구독가격,평점,이미지리스트,세탁 용량 (kg),"크기 (WxHxD, mm)","도어 열림 시 크기 (WxHxD, mm)",무게 (kg),색상,도어 디자인,조작 및 표현 방식,"AI DD(무게, 의류 재질 감지)",인버터 DD모터,6모션,트루스팀,5방향 터보샷+,드럼 라이트,스테인리스 세탁통,UP 가전,표준,알뜰삶음,통살균,울/섬세,헹굼+탈수,이불,소량급속,탈수단독,알러지케어,AI세탁(인공지능세탁),타월,교복,꼼꼼헹굼,아기옷,옷감보호,찬물세탁,컬러케어,셔츠,키즈옷,장마철세탁,헹굼단독,조용조용,한벌세탁,기능성의류,찌든때,스팀리프레쉬,땀얼룩제거,세탁단독,빨래추가,물온도,탈수선택,스마트 페어링 (건조기 연동 시),스마트 원격제어,스마트 진단,다운로드코스,에너지 모니터링,통 살균(세척) 코치,스마트케어,KC 인증 필 유무,KC인증조회,전기용품 안전인증(확인신고) 번호,전자파 적합성 인증(등록) 번호,전자파 적합성 인증(등록) 번호 (무선모듈),에너지 소비효율등급,정격전압,소비전력(W),동일모델의 출시년월,제조자 (수입자),제조국,품질보증기준,A/S 책임자와 전화번호,인공지능세탁,크기 (WxHxD),도어 열림 시 크기 (WxHxD),6 모션,5방향 터보샷,세탁코스 선택,도어테두리,세탁전용,제조자,스피드워시,소량세탁,안심표준(안심헹굼),자동세제함,Centum System,4방향 터보샷,스마트 페어링 (건조기 연동 시)<br>,펫케어세탁,건조 용량 (kg),건조방식,스테인리스 필터,소프트 안전도어,터보물살,통세척,물높이 단계 선택,헹굼횟수,터보샷,터보샷 / 터보 대포물살,애벌+표준,행굼+탈수,안심표준,강력세탁,타월(수건),청바지,급속통세척,다량세탁,수영복,음식물 얼룩 제거,베개커버,향기강화,애벌세탁,판매자,무게,DD모터,헹굼선택,소비전력(냉수/가열),에너지소비효율,물소비량,세탁진행 표시부,면 속옷,Wi-Fi,DD모터(슬림),부가기능,분리형 세탁 바구니,스마트 인버터 모터,스마트모션,합성의류,미세플라스틱 케어
세탁,https://www.lge.co.kr/washing-machines/fx25enr-akor2,LG 트롬 오브제컬렉션 세탁기25kg1등급,FX25ENR,판매중,"2,140,000원","1,500,000원","1,302,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원) | 사은품 포토리뷰 작성시 멤버십 1만P 지급,"월 39,900 원","월 13,900원",5.0,"['https://www.lge.co.kr/kr/images/washing-machines/md10412847/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10295855/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10295855/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10295855/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10295855/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10295855/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10295855/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10295855/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10295855/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10295855/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10295855/gallery/small10.jpg']",25,700 x 990 x 830,"700 x 990 x 1,410",94.0,네이처 베이지,글라스 도어,다이얼+풀터치버튼 및 LCD+LED 디스플레이,O,O,O,,O,O,O,O,O,O,O,O,O,O,O,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,O,O,"냉수, 30, 40, 60, 95℃",5단계,,O,O,O,O,O,O,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07003-21002,R-R-LGE-FX27,R-C-LGE-LCWB-001,1등급,220V / 60Hz,"2,100",2024-10,LG전자(주),베트남,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,O,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
세탁,https://www.lge.co.kr/washing-machines/fg24en-akor2,LG 트롬 오브제컬렉션 세탁기24kg1등급,FG24EN,판매중,"1,805,000원","1,800,000원","1,581,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원) | 사은품 포토리뷰 작성시 멤버십 1만P 지급,"월 36,900 원","월 10,900원",5.0,"['https://www.lge.co.kr/kr/images/washing-machines/md10420859/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10420859/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10420859/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10420859/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10420859/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10420859/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10420859/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10420859/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10420859/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10420859/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10420859/gallery/small10.jpg']",24,700x990x830,"700x990x1,410",93.0,네이처 베이지,글라스 도어,다이얼+풀터치버튼 및 LED 디스플레이,O,O,O,,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,O,O,"냉수, 30, 40, 60, 95℃",5단계,,O,O,O,O,O,O,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07003-21002,R-R-LGE-FX27G1,R-C-LGE-LCWB-001,1등급,220V / 60Hz,"2,100",2024-08,LG전자(주),베트남,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,O,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
세탁,https://www.lge.co.kr/washing-machines/fg19vn-akor2,LG 트롬 오브제컬렉션 세탁기19kg1등급,FG19VN,판매중,"1,450,000원","1,080,000원","976,500원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원) | 사은품 포토리뷰 작성시 멤버십 1만P 지급,"월 28,900 원","월 2,900원",5.0,"['https://www.lge.co.kr/kr/images/washing-machines/md10412835/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944835/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944835/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944835/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944835/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944835/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944835/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944835/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944835/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944835/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944835/gallery/small10.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944835/gallery/small11.jpg']",19,700 x 990 x 770,"700 x 990 x 1,360",91.0,모던 스테인리스,글라스 도어,다이얼+풀터치버튼 및 LED 디스플레이,O,O,O,,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,O,O,"냉수, 30, 40, 60, 95℃",5단계,,O,O,O,O,O,O,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07003-21002,R-R-LGE-FX27G,R-C-LGE-LCWB-001,1등급,220V / 60Hz,"2,100",2024-10,LG전자(주),베트남,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,O,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
세탁,https://www.lge.co.kr/washing-machines/f9wtq,LG 트롬 세탁기9kg,F9WTQ,판매중,"666,000원","600,000원","530,100원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.8,"['https://www.lge.co.kr/kr/images/washing-machines/md10374826/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10374826/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10374826/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10374826/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10374826/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10374826/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10374826/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10374826/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10374826/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10374826/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10374826/gallery/small10.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10374826/gallery/small11.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10374826/gallery/small12.jpg']",9,600 x 850 x 550,"600 x 850 x 1,005",55.0,화이트,원형 도어,다이얼+풀터치버튼 및 LED 디스플레이,,O,O,,,,O,,O,O,O,O,O,O,,O,,,,,,O,,O,O,O,O,O,,O,O,O,O,,O,,,"냉수, 20, 30, 40, 60, 95℃",5단계,,O,O,O,O,O,,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07003-23004,R-R-LGE-VBF,,2등급,220V / 60Hz,"2,000",2024-08,LG전자(주),중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,,,,,O,O,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
세탁,https://www.lge.co.kr/washing-machines/fx25ear-akor2,LG 트롬 오브제컬렉션 세탁기25kg1등급,FX25EAR,판매중,"2,220,000원","2,000,000원","1,748,400원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원) | 사은품 포토리뷰 작성시 멤버십 1만P 지급,"월 40,900 원","월 14,900원",5.0,"['https://www.lge.co.kr/kr/images/washing-machines/md10412845/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412845/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412845/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412845/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412845/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412845/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412845/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412845/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412845/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412845/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412845/gallery/small10.jpg']",25,700 x 990 x 830,"700 x 990 x 1,410",94.0,네이처 베이지,글라스 도어,다이얼+풀터치버튼 및 LCD+LED 디스플레이,O,O,O,,O,O,O,O,O,O,O,O,O,O,O,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,O,O,"냉수, 30, 40, 60, 95℃",5단계,,O,O,O,O,O,O,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07003-21002,R-R-LGE-FX27,R-C-LGE-LCWB-001,1등급,220V / 60Hz,"2,100",2024-10,LG전자(주),베트남,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,O,,,,,,,,,,,,O,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
세탁,https://www.lge.co.kr/washing-machines/fx25esr-akor2,LG 트롬 오브제컬렉션 세탁기25kg1등급,FX25ESR,판매중,"2,050,000원","1,500,000원","1,302,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/washing-machines/md10412840/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412840/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412840/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412840/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412840/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412840/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412840/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412840/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412840/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412840/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412840/gallery/small10.jpg']",25,700 x 990 x 830,"700 x 990 x 1,410",94.0,네이처 베이지,글라스 도어,다이얼+풀터치버튼 및 LCD+LED 디스플레이,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,"냉수, 30, 40, 60, 95℃",5단계,,O,O,O,O,O,O,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07003-21003,R-R-LGE-FX27S,R-C-LGE-LCWB-001,1등급,220V / 60Hz,"2,200",2024-10,LG전자(주),베트남,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,O,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
세탁,https://www.lge.co.kr/washing-machines/fy9wtb,LG 트롬 건조 겸용 세탁기 · 9kg / 4.5kg9kg,FY9WTB,판매중,"750,000원",,"720,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.9,"['https://www.lge.co.kr/kr/images/washing-machines/md10561838/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10561838/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10561838/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10561838/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10561838/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10561838/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10561838/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10561838/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10561838/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10561838/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10561838/gallery/small10.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10561838/gallery/small11.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10561838/gallery/small12.jpg']",9.0,600x825x550,"600x825x1,030",59.0,화이트,글라스 도어,다이얼+풀터치버튼 및 LED 디스플레이,,O,O,,,,O,,O,O,O,O,O,O,,,,,,,,O,,,O,,O,,,O,,,O,,,,,"냉수, 20, 30, 40, 60, 95℃",5단계,,O,O,,O,O,,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07003-24003,R-R-LGE-VBFWD,R-CRM-LGE-LCW-007,2등급,220V / 60Hz,"2,010",2025-02,LG전자(주),중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,,,,,O,O,,,,,,,4.5,히터식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
세탁,https://www.lge.co.kr/washing-machines/fg21wn-akor2,LG 트롬 오브제컬렉션 세탁기21kg1등급,FG21WN,판매중,"1,500,000원","1,140,000원","1,032,300원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/washing-machines/md10412832/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944831/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944831/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944831/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944831/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944831/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944831/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944831/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944831/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944831/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944831/gallery/small10.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944831/gallery/small11.jpg']",21,700 x 990 x 770,"700 x 990 x 1,360",91.0,릴리 화이트,글라스 도어,다이얼+풀터치버튼 및 LED 디스플레이,O,O,O,,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,O,O,"냉수, 30, 40, 60, 95℃",5단계,,O,O,O,O,O,O,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07003-21002,R-R-LGE-FX27G,R-C-LGE-LCWB-001,1등급,220V / 60Hz,"2,100",2024-10,LG전자(주),베트남,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,O,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
세탁,https://www.lge.co.kr/washing-machines/fg21gn-akor2,LG 트롬 오브제컬렉션 세탁기21kg1등급,FG21GN,판매중,"1,650,000원","1,230,000원","1,078,800원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),"월 31,900 원","월 5,900원",4.9,"['https://www.lge.co.kr/kr/images/washing-machines/md10412829/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412829/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412829/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412829/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412829/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412829/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412829/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412829/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412829/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412829/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412829/gallery/small10.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md10412829/gallery/small11.jpg']",21,700 x 990 x 770,"700 x 990 x 1,360",91.0,네이처 그린,글라스 도어,다이얼+풀터치버튼 및 LED 디스플레이,O,O,O,,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,O,O,"냉수, 30, 40, 60, 95℃",5단계,,O,O,O,O,O,O,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07003-21002,R-R-LGE-FX27G,R-C-LGE-LCWB-001,1등급,220V / 60Hz,"2,100",2024-10,LG전자(주),베트남,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,O,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
세탁,https://www.lge.co.kr/washing-machines/fg19wn-akor2,LG 트롬 오브제컬렉션 세탁기19kg1등급,FG19WN,판매중,"1,400,000원","1,090,000원","985,800원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원) | 사은품 포토리뷰 작성시 멤버십 1만P 지급,"월 27,900 원","월 1,900원",5.0,"['https://www.lge.co.kr/kr/images/washing-machines/md10412836/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944836/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944836/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944836/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944836/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944836/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944836/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944836/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944836/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944836/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944836/gallery/small10.jpg', 'https://www.lge.co.kr/kr/images/washing-machines/md09944836/gallery/small11.jpg']",19,700 x 990 x 770,"700 x 990 x 1,360",91.0,릴리 화이트,글라스 도어,다이얼+풀터치버튼 및 LED 디스플레이,O,O,O,,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,O,O,"냉수, 30, 40, 60, 95℃",5단계,,O,O,O,O,O,O,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07003-21002,R-R-LGE-FX27G,R-C-LGE-LCWB-001,1등급,220V / 60Hz,"2,100",2024-10,LG전자(주),베트남,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,O,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
